S/N,Names,Date of birth,Educational Qualification,Achievements & Honors,Political Background / Previous Offices
,,,"Doctorate of Management Science, Honoris Causa, Nigeria Defence Academy (2011).","Exam Ethic Marshall 2009: Exam Ethic International, Ghana.",Senate Minority Leader 2015
,,,"Doctorate of Law, Honoris Causa, University of Nigeria, Nsukka (2010).","Best Governor, Infrastructure Development 2009: BEN Television, London.",
,,,"Doctorate of Law, Honoris Causa, University of Calabar, Calabar (2009).","Honorary citizen of the city of Georgia, New Jersey in United States",
,,,"Doctorate of Law, Honoris Causa, University of Uyo, Uyo (2009).",Commander of the Order of the Niger (CON).,
,,,"Doctorate of Public Administration (Honoris Causa), Nnamdi Azikiwe University, Awka (2009).",Best Governor Infrastructure and Empowerment Award of the Central Bank of Nigeria (2012).,
,,,"Doctorate of Management Science (Honoris Causa) Federal University of Technology, Owerri (2011).",Most Prolific Governor by the National Councillors’ Forum,
,,,"Doctorate of Public Administration, Honoris Causa Enugu State University of Science and Technology (ESUT), Enugu (2013).",,
,,,"Doctorate of Human Resource Management (Honoris Causa) Wesley University of Science and Technology, Ondo.",,
,,,Honorary Fellow of Nigeria Society of Engineers (2010) (Only fourteen non-engineers have so far been so honoured in Nigeria).,,
,,,"Fellow, Kazaure Polytechnic, Kazaure (2008).",,
,,,"Fellow of the Yaba College of Technology, Yaba (2011).",,
,,,"Fellow of the College of Education, Bichi, and a host of others",,
,,,Most Education Friendly Governor in Nigeria by the National Parent-Teacher Association (2008),,
,,,"Best Booster Governor Award for Promoting Science, Technology and Mathematics by the Science Teachers Association of Nigeria.",,
,,,,,
9,Lawal Gumal,Born in 1960,"Primary School Certificate, FSLC Brinin Tudu Primary School 1957",Not found,"Federal House of Representatives, Gummi/Bukkuyyum Federal Constituency 2015"
,,,"Grade II, Government Teacher's College, Gusau 1980",,
,,,"National Certificate of Education (N.C.E), Ahmadu Bello University, Zaria 1985",,
,,,"B.Sc in Political Science, Usman Danfodio University, Sokoto 1990",,
,,,,,
10,Adamu Bulkachuwa,Born in March 1950,Not found,Not found,President of the Nigerian courts of appeals 2014
,,,,,
11,Mohammed Alhaji Muhammed,"27th December, 1939",Diploma in Accountancy in 1964,Not found,Chief Accountant Northern State Marketing Board (1970-1976)
,,,Certified Accountant U.K in 1967,,Assistant General Manager and Executive Director Union Bank Plc (1980-1990)
,,,,,Member of the Senate for Bauchi State 2007
,,,,,
12,George Akume,"27th December, 1953","Bachelor's Degree in Sociology, University of Ibadan, Oyo",Not found,Governor of Benue State (1999-2007)
,,,Master's degree in Labour Relations,,Senate Minroity Leader (2011-2015)
,,,,,
13,Mrs. Mimi Orubibi,"18th November, 1975","B.Sc Economics, Ahmadu Bello University, Zaria",Not found,Federal Inland Revenue Service (FIRS)
,,,"Master Degree in Business Administration, Abubakar Tafawa Balewa University, Bauchi.",,"Executive Chairman, Benue State Internal Revenue Service"
,,,,,
14,Stephen Lawani,"30th December, 1947",St. Augustine Primary School Otukpo,National honour of Officer of the Federal Republic (OFR),Deputy Governor of Benue State
,,,St. Michaels secondary school Aliade (1962-1967),,
,,,"Government College, Kaduna (1968-1969)",,
,,,"B.Sc. (Hons) Economics, Ahmadu Bello University, Zaria",,
,,,"Advanced Diploma in Hotel Management, Manchester Polytechnic in the United Kingdom",,
,,,"Diploma in Management Development, Cambridge University also in the United Kingdom",,
,,,,,
15,Kashim Shettima,"2nd September, 1966 ",Lamisula Primary School in Maiduguri (1972-1978),Not found,Not found
,,,"Government Community Secondary School, Biu southern part of Borno State (1978-1980)",,
,,,"Government Science Secondary School, Potiskum (1980-1983)",,
,,,"Degree (BSc) in Agricultural Economics, University of Maiduguri in 1989",,
,,,,,
16,Victor Ndoma-Egba,"8th March, 19563","LL.B degree, University of Lagos",Not found,"Chairman of the Nigerian Bar Association, Calabar Branch"
,,,"LLM degree, University of Calabar",,President of the Calabar Chamber of Commerce
,,,,,Director of the Cross River Basin and Rural Development Authority
,,,,,Honourable Commissioner for Works & Transport
,,,,,"Senator in the 5th National Assembly, Cross River Central Senatorial District (2003–2011) "
,,,,,Deputy chairman of the Judiciary Committee of the Nigerian Senate
,,,,,Senator for Cross River Central (2011-2015)
,,,,,Chairman of the Niger Delta Development Commission (NDDC) 2016
,,,,,
17,Emerhor Oghenetega,"25th November, 1957","Ewu Grammar School, Ewu in Delta State (1975-1979)",Nigerian national honour,"General Manager of UBA Plc, youngest bank MD/CEO in the Nigerian banking industry in 1995"
,,,"First Class Honours degree, University of Nigeria, Nsukka  in 1983",Officer of the Order of the Niger (OON),Chairman of First Atlantic Bank Plc 1998
,,,"Chartered accountant, Price Waterhouse Coopers in 1986",Dr. Kwame Nkrumah Leadership Award,Vice-Chairman of FinBank Plc and Director until February 2009
,,,"Alumnus of the Institute of Management Development, IMD, Lausanne, Switzerland",Midwest Personality of the Year 2002 awardee,Director of Transcorp Plc
,,,DC Gardner course in London and other courses at the Lagos Business School in Nigeria,United Nations – POLAC Ambassador of Peace (2013),Director at Suntrust Oil Ltd
,,,,"Honorary Citizen of the state of Georgia, USA (2015)",Vice-Chairman of the Nigerian Chamber of Shipping and Chairman of Vitamalt Plc
,,,,,Founder and Chairman of the Fair Life Africa Foundation (NGO)
,,,,,Chairman of the Urhobo Progress Union (UPU) Special Fund Management Board
,,,,,"Leader of All Progressives Congress, Delta State"
,,,,,Chief Executive Officer of the Standard Alliance Group.
,,,,,
18,Dr. Emmanuel Uduaghan,"22nd October, 1954","Federal Government College, Warri (1968–1974)",Not found,3rd Governor of Delta State from (2007-2015)
,,,"Bachelor of Medicine and Surgery (MBBS) degree and a Diploma in Anaesthesia, University of Benin (1975–1980).",,Founding member and Chairman of the APC for the Warri South Local Government
,,,,,Executive member of the Grassroots Democratic Movement (GDM)
,,,,,Foundation member of the PDP. On 6 August 1999
,,,,,
19,Francis Alimikhena,"18th October, 1947",Saint Thomas Secondary Modern School,Forces Service Star (FSS),Retired military officer (1972–2000)
,,,"Bachelor of Law (L.L.B), University of Buckingham United Kingdom in 2003",,President of Anthony BBC between (1994-1997)
,,,,,Chairman Of Falzal group of companies
,,,,,Vice Chairman of Solidgate properties
,,,,,Managing partner at FA Alimikhena & Co (Global Chambers)
,,,,,Senator of the Federal Republic of Nigeria representing Edo North (6 June 2015)
,,,,,Deputy Chief Whip 8th National Assembly (10 June 2015)
,,,,,Vice-Chairman of the Senate Committee on Housing (3 November 2015)
,,,,,
20,Patrick Ogbahiagbon," 12th April, 1960","St John Bosco Grammar School in Obiaja, Bendel State",Not found,Member of the House of Representatives of Nigeria (2007-2011)
,,,"Studied Law with a Master degrees in Public Administration and International history and diplomacy, University of Benin",,Chief of Staff to the Governor of Edo State (2011-2015)
